Version,Set,Item1,Item2,Item3,Item4,Item5
1,1,2,21,17,10,8
1,2,20,5,15,28,14
1,3,14,3,21,30,22
1,4,9,23,24,13,19
1,5,15,8,23,4,18
1,6,19,28,5,16,25
1,7,4,17,19,3,28
1,8,13,2,29,6,12
1,9,21,13,11,5,26
1,10,12,24,8,20,30
1,11,30,4,16,7,6
1,12,26,29,3,25,27
1,13,22,11,18,12,1
1,14,6,18,25,1,7
1,15,10,15,22,29,23
1,16,1,9,26,17,20
1,17,27,16,2,9,14
1,18,7,10,27,24,11
2,1,28,26,23,2,11
2,2,23,1,28,6,21
2,3,5,27,20,23,3
2,4,17,22,4,9,5
2,5,16,3,10,15,1
2,6,18,14,19,26,2
2,7,24,2,1,29,4
2,8,4,12,14,21,24
2,9,25,30,24,27,15
2,10,11,20,16,8,29
2,11,7,19,12,21,15
2,12,8,6,11,14,17
2,13,25,7,9,8,5
2,14,22,20,6,19,27
2,15,29,30,13,18,17
2,16,3,12,7,10,13
2,17,26,25,13,22,16
2,18,10,18,30,28,9
3,1,21,27,18,4,16
3,2,15,25,2,13,20
3,3,23,22,6,7,2
3,4,30,28,26,22,8
3,5,19,23,30,11,14
3,6,17,1,11,19,15
3,7,6,15,4,26,10
3,8,12,16,25,23,17
3,9,24,6,9,16,3
3,10,14,13,1,27,8
3,11,9,7,20,29,21
3,12,18,10,12,20,5
3,13,8,24,28,18,22
3,14,24,17,27,7,26
3,15,29,5,28,19,13
3,16,5,1,3,2,30
3,17,21,29,14,25,10
3,18,11,4,3,12,9
4,1,1,26,10,9,30
4,2,3,18,29,17,23
4,3,20,11,4,1,25
4,4,1,14,5,24,29
4,5,29,8,6,27,12
4,6,17,15,7,5,2
4,7,2,10,8,13,4
4,8,10,19,8,3,25
4,9,13,9,15,28,27
4,10,23,20,22,30,7
4,11,4,23,20,14,13
4,12,15,3,16,11,26
4,13,28,14,26,12,7
4,14,16,22,2,30,19
4,15,16,21,18,22,24
4,16,28,17,21,25,6
4,17,27,19,12,9,18
4,18,11,24,5,6,21
5,1,12,14,17,15,22
5,2,14,9,25,2,12
5,3,20,17,24,10,19
5,4,25,11,2,18,24
5,5,8,21,19,1,5
5,6,19,26,29,4,7
5,7,9,2,20,3,6
5,8,26,8,23,21,27
5,9,12,16,1,20,28
5,10,27,5,6,16,10
5,11,25,27,30,28,4
5,12,10,24,14,26,23
5,13,7,8,15,23,16
5,14,21,30,17,13,3
5,15,6,29,15,30,18
5,16,22,28,9,11,29
5,17,5,13,4,22,1
5,18,13,7,18,3,11
6,1,18,6,19,26,20
6,2,18,25,23,5,9
6,3,16,7,27,17,1
6,4,3,15,1,24,23
6,5,30,9,8,15,29
6,6,20,4,12,21,26
6,7,17,18,13,14,6
6,8,2,22,21,15,27
6,9,22,12,10,19,13
6,10,9,25,22,8,3
6,11,24,21,17,20,29
6,12,1,6,25,4,19
6,13,5,26,14,16,30
6,14,27,10,11,2,4
6,15,23,5,30,11,12
6,16,14,3,7,10,28
6,17,29,28,24,13,16
6,18,8,11,7,2,28
7,1,28,4,23,24,9
7,2,19,9,21,14,15
7,3,2,19,28,7,3
7,4,4,12,16,17,8
7,5,30,27,10,20,11
7,6,13,23,9,1,6
7,7,6,13,11,16,15
7,8,7,30,13,25,24
7,9,3,12,26,6,8
7,10,15,26,5,18,24
7,11,18,20,7,8,14
7,12,17,4,27,5,22
7,13,11,29,22,14,25
7,14,2,16,29,23,20
7,15,26,25,10,22,17
7,16,28,10,21,1,18
7,17,5,27,3,29,19
7,18,21,1,30,12,2
8,1,5,22,6,7,10
8,2,13,11,9,10,17
8,3,22,5,12,3,24
8,4,1,14,22,20,7
8,5,29,8,1,26,13
8,6,24,3,4,18,8
8,7,12,23,28,27,17
8,8,27,16,14,18,1
8,9,10,19,16,23,21
8,10,16,2,18,9,26
8,11,20,21,25,13,3
8,12,19,15,4,12,25
8,13,6,20,15,30,28
8,14,23,29,27,15,25
8,15,4,30,19,11,14
8,16,8,17,5,2,30
8,17,26,24,2,28,6
8,18,7,11,29,21,9
9,1,11,18,12,15,10
9,2,3,1,9,26,22
9,3,10,29,22,4,23
9,4,25,28,30,1,12
9,5,21,2,5,25,18
9,6,15,1,17,24,11
9,7,19,26,24,7,4
9,8,12,13,26,29,20
9,9,9,22,8,6,21
9,10,9,7,19,8,16
9,11,30,19,29,17,16
9,12,18,17,3,30,23
9,13,14,6,20,27,3
9,14,28,8,21,5,27
9,15,27,7,13,23,2
9,16,11,28,20,16,5
9,17,6,24,10,25,14
9,18,14,4,15,2,13
10,1,7,9,4,21,30
10,2,2,3,11,12,21
10,3,6,14,23,19,11
10,4,30,13,24,19,8
10,5,24,27,25,16,22
10,6,29,17,7,28,14
10,7,1,18,27,22,19
10,8,4,6,18,5,13
10,9,17,2,24,9,20
10,10,22,20,26,27,15
10,11,30,21,15,10,9
10,12,25,5,17,26,7
10,13,8,25,11,23,26
10,14,3,29,2,4,1
10,15,15,16,14,3,28
10,16,5,12,6,29,10
10,17,23,13,16,1,12
10,18,20,10,8,28,18
11,1,21,23,8,14,5
11,2,7,15,5,18,29
11,3,13,30,7,25,20
11,4,20,10,1,19,2
11,5,3,25,28,20,4
11,6,15,7,1,8,12
11,7,16,9,10,29,25
11,8,19,18,13,11,21
11,9,26,19,6,17,23
11,10,11,23,4,24,10
11,11,28,5,26,15,9
11,12,14,16,3,17,18
11,13,24,3,2,8,22
11,14,9,14,12,24,27
11,15,1,27,30,6,17
11,16,4,26,16,21,30
11,17,22,28,27,13,11
11,18,29,2,22,12,6
12,1,13,22,14,9,19
12,2,18,4,20,2,15
12,3,2,15,19,27,26
12,4,8,30,27,6,11
12,5,25,23,18,12,7
12,6,12,24,13,5,16
12,7,27,26,3,7,10
12,8,26,6,29,30,24
12,9,13,21,3,22,15
12,10,17,12,28,9,18
12,11,23,1,21,29,28
12,12,5,11,9,20,1
12,13,1,8,25,14,29
12,14,22,7,17,11,4
12,15,16,19,28,4,8
12,16,10,25,17,14,2
12,17,23,30,10,3,5
12,18,21,20,16,6,24
13,1,14,4,12,30,26
13,2,11,16,1,10,26
13,3,2,22,30,5,14
13,4,15,21,24,28,17
13,5,7,6,23,4,9
13,6,18,3,22,6,28
13,7,9,13,29,27,4
13,8,25,27,19,21,12
13,9,24,2,13,10,28
13,10,27,29,18,11,3
13,11,17,10,8,13,1
13,12,14,11,23,25,15
13,13,20,23,2,22,16
13,14,6,15,9,8,25
13,15,19,20,29,3,30
13,16,1,5,7,24,19
13,17,26,18,21,16,7
13,18,12,17,5,8,20
14,1,3,8,15,24,19
14,2,16,1,7,15,13
14,3,8,14,9,16,3
14,4,12,24,30,7,27
14,5,28,30,8,23,10
14,6,15,17,6,25,5
14,7,10,12,16,22,29
14,8,30,9,18,17,11
14,9,4,14,26,5,13
14,10,5,9,11,12,2
14,11,27,13,20,21,23
14,12,24,20,25,26,22
14,13,29,2,10,7,21
14,14,22,28,26,19,11
14,15,29,27,14,18,19
14,16,23,18,20,1,4
14,17,2,25,1,28,6
14,18,6,3,4,17,21
15,1,30,4,25,5,16
15,2,28,24,12,4,9
15,3,8,5,16,2,29
15,4,17,2,27,13,18
15,5,25,8,13,18,26
15,6,7,6,14,23,24
15,7,19,15,6,10,12
15,8,16,11,17,29,6
15,9,26,12,3,13,23
15,10,11,7,21,3,25
15,11,3,1,5,10,27
15,12,7,22,11,20,8
15,13,21,26,9,1,14
15,14,10,28,14,27,20
15,15,18,22,24,30,1
15,16,9,19,20,23,17
